2022-10-02T21:45:23.159699Z;00:04;00:04
2022-10-02T21:45:27.617739Z;00:08;00:04
2022-10-02T21:45:32.121766Z;00:13;00:04
2022-10-02T21:45:36.313028Z;00:17;00:04
2022-10-02T21:45:40.611776Z;00:21;00:04
2022-10-02T21:45:44.946187Z;00:26;00:04
2022-10-02T21:45:49.524119Z;00:30;00:04
2022-10-02T21:45:54.327841Z;00:35;00:04
2022-10-02T21:45:58.591657Z;00:39;00:04
2022-10-02T21:46:03.327427Z;00:44;00:04
2022-10-02T21:46:08.889676Z;00:49;00:05
2022-10-02T21:46:14.122488Z;00:55;00:05
2022-10-02T21:46:19.141179Z;01:00;00:05
2022-10-02T21:46:24.172629Z;01:05;00:05
2022-10-02T21:46:28.875414Z;01:09;00:04
2022-10-02T21:46:33.201451Z;01:14;00:04
2022-10-02T21:46:37.410229Z;01:18;00:04
2022-10-02T21:46:41.630239Z;01:22;00:04
2022-10-02T21:46:45.905982Z;01:26;00:04
2022-10-02T21:46:50.151608Z;01:31;00:04
2022-10-02T21:46:54.289770Z;01:35;00:04
2022-10-02T21:46:58.526457Z;01:39;00:04
2022-10-02T21:47:02.763064Z;01:43;00:04
2022-10-02T21:47:07.002477Z;01:48;00:04
2022-10-02T21:47:11.180652Z;01:52;00:04
2022-10-02T21:47:15.381317Z;01:56;00:04
2022-10-02T21:47:19.604552Z;02:00;00:04
2022-10-02T21:47:24.192097Z;02:05;00:04
2022-10-02T21:47:29.190276Z;02:10;00:04
2022-10-02T21:47:34.081721Z;02:15;00:04
2022-10-02T21:47:40.261349Z;02:21;00:06
2022-10-02T21:47:45.659291Z;02:26;00:05
2022-10-02T21:47:51.281151Z;02:32;00:05
2022-10-02T21:47:53.536310Z;02:34;00:02
